instance,algorithm,mean_GD,std_GD,mean_IGD,std_IGD,mean_runtime_s,std_runtime_s,mean_nd_size
sdmk04,H-GA-TS,77.31074397237111,12.073569839144817,169.00259766637654,30.836200964171667,2.8814196586608887,0.061388492584228516,3.0
sdmk04,NSGA-II,65.23901734056568,24.002571756053364,232.25704228794206,94.38225461539517,0.17002379894256592,0.009084582328796387,5.0
sdmk05,EDA,29.94700079373148,15.714799433592017,150.9552624782391,22.30860209803066,0.7746223211288452,0.040244221687316895,3.5
sdmk05,EDA-TS,0.0,0.0,0.0,0.0,1.554937720298767,0.13244569301605225,10.0
sdmk05,EDA-VNS,21.08595144852899,4.672542296253525,121.88199751315908,0.6005819139081012,1.9244794845581055,0.018253326416015625,3.5
sdmk05,H-GA-TS,42.2766993827153,17.619043370839396,115.47526635940316,21.552168257861766,2.595593214035034,0.044434547424316406,4.0
sdmk05,NSGA-II,23.503442593256032,7.441064189047024,117.17058047039659,38.154770782025665,0.187849760055542,0.0005555152893066406,5.0
sdmk06,EDA,627.7512112885702,96.2346311144425,1128.3828324362216,2.05951310559567,1.2663545608520508,0.16222286224365234,3.0
sdmk06,EDA-TS,0.0,0.0,0.0,0.0,3.3155711889266968,0.6746343374252319,4.5
sdmk06,EDA-VNS,647.5150576279198,100.00250069429114,1092.079023760166,18.114896475911223,4.54006826877594,1.0350006818771362,3.0
sdmk06,H-GA-TS,716.3154226143645,88.14992778924363,1218.8956824671475,49.8801967201905,8.290604948997498,2.269260048866272,2.5
sdmk06,NSGA-II,542.4246174741904,32.6911969493047,1227.408398673322,10.05758989545302,0.3614925146102905,0.07895457744598389,5.0
sdmk07,EDA,128.9539941815554,19.665385443041387,694.6270194806583,160.6617515802568,1.4952865839004517,0.2980891466140747,3.0
sdmk07,EDA-TS,0.0,0.0,0.0,0.0,3.102036952972412,0.35778307914733887,12.5
sdmk07,EDA-VNS,93.95769360214152,48.78026560983545,631.0159051852597,36.76054154335526,4.684602618217468,0.41030585765838623,2.5
sdmk07,H-GA-TS,112.14970933670403,70.40644640722041,727.0174388020818,33.13405121987262,5.274407744407654,0.7858587503433228,3.0
sdmk07,NSGA-II,198.18649885659687,76.21211630025844,782.8254248925656,85.71451487914862,0.45071423053741455,0.1272028684616089,4.5
sdmk08,EDA,246.70143131663326,41.49448969698706,663.0998270873326,0.4642015844434013,3.5145277976989746,0.6783380508422852,3.0
sdmk08,EDA-TS,0.0,0.0,0.0,0.0,6.471391797065735,0.8302668333053589,6.0
sdmk08,EDA-VNS,120.42173140999942,21.555379421289146,472.2716792413655,15.481212254363328,6.948284387588501,2.40875244140625,2.5
sdmk08,H-GA-TS,156.3309081832616,11.701112574687983,463.63446963135016,50.820348522430976,8.091874957084656,1.9195140600204468,4.0
sdmk08,NSGA-II,184.85575416250163,1.3904985962227983,573.8860464254392,59.51022975376168,0.8992516994476318,0.1824662685394287,5.0
sdmk09,EDA,418.792710500995,85.71447477984921,1399.4448886177365,392.4536636393744,2.090080738067627,0.01779007911682129,2.5
sdmk09,EDA-TS,0.0,0.0,0.0,0.0,3.7578877210617065,0.03872835636138916,8.5
sdmk09,EDA-VNS,365.38956777286046,108.45745395461645,1420.7799771404336,378.4361731576996,5.1030113697052,0.07963967323303223,3.0
sdmk09,H-GA-TS,426.50256682926886,54.574025305497116,1558.756863024234,265.7528456491417,6.237849712371826,0.19031167030334473,4.5
sdmk09,NSGA-II,449.7721214317321,134.29599317477505,1641.6388905392548,249.75275718610033,0.5887644290924072,0.005381345748901367,4.0
sdmk10,EDA,814.6619356306959,54.836626760295076,2244.8666063488113,179.68964664595296,2.0716612339019775,0.09871721267700195,4.0
sdmk10,EDA-TS,0.0,0.0,0.0,0.0,4.758324980735779,0.21705257892608643,14.0
sdmk10,EDA-VNS,827.9786365907022,9.6567256045671,1951.0932932880519,56.61983650547404,6.638045310974121,0.3031909465789795,1.5
sdmk10,H-GA-TS,728.5935308718231,172.2469100498754,2217.9554653545347,19.80042813783416,8.756915807723999,0.8008604049682617,5.0
sdmk10,NSGA-II,670.9550645452664,104.44773400526759,2328.238886688015,143.3005497096101,0.5496340990066528,0.03082406520843506,6.5
sdmk11,EDA,84.25258820731638,13.076749610219395,569.4342024396902,43.72084371117546,1.6060940027236938,0.03274810314178467,1.0
sdmk11,EDA-TS,0.0,0.0,0.0,0.0,2.81684148311615,0.24761736392974854,10.0
sdmk11,EDA-VNS,127.84907250764168,55.35846008859194,434.2945084019749,21.259841993553238,3.371672749519348,0.05915486812591553,2.0
sdmk11,H-GA-TS,83.29360435071894,15.053332561418806,467.3070547032528,44.73240319124986,3.9906870126724243,0.04010498523712158,6.0
sdmk11,NSGA-II,90.87733357234038,6.217885061130353,489.790531541704,24.71155023254002,0.40505075454711914,0.02771735191345215,6.0
sdmk12,EDA,162.43964225735428,70.3509169250242,835.9777849459606,17.97210927750308,1.7216503620147705,0.018366336822509766,3.0
sdmk12,EDA-TS,0.0,0.0,0.0,0.0,3.345681309700012,0.12475955486297607,11.0
sdmk12,EDA-VNS,101.61582843191536,4.182197174530721,770.4252822732328,27.9828204785843,4.118788957595825,0.04112529754638672,3.5
