instance,run,algorithm,seed,GD,IGD,runtime_s,nd_size,best_cost,best_makespan
sdmk04,1,NSGA-II,20300409,41.23644558451231,137.8747876725469,0.16093921661376953,3,2343.0,73.0
sdmk04,1,EDA-VNS,20300409,42.0,123.88118435425501,1.8698573112487793,1,2293.0,69.0
sdmk04,1,H-GA-TS,20300409,89.38431381151592,138.16639670220488,2.82003116607666,3,2335.0,74.0
sdmk04,2,EDA-TS,20300410,0.0,0.0,1.633056402206421,5,2018.0,64.0
sdmk04,2,EDA,20300410,67.15564012054385,230.64104038475526,0.715670108795166,5,2321.0,72.0
sdmk04,2,NSGA-II,20300410,89.24158909661904,326.63929690333725,0.1791083812713623,7,2418.0,68.0
sdmk04,2,EDA-VNS,20300410,52.73624096492953,178.53791756452546,1.917633295059204,3,2271.0,66.0
sdmk04,2,H-GA-TS,20300410,65.23717413322629,199.8387986305482,2.942808151245117,3,2293.0,70.0
sdmk05,1,EDA-TS,20310409,0.0,0.0,1.6873834133148193,9,2994.0,130.0
sdmk05,1,EDA,20310409,14.232201360139463,128.64666038020843,0.7343780994415283,3,3260.0,146.0
sdmk05,1,NSGA-II,20310409,16.06237840420901,79.01580968837092,0.18729424476623535,6,3213.0,146.0
sdmk05,1,EDA-VNS,20310409,16.413409152275467,121.28141559925098,1.9062261581420898,5,3294.0,134.0
sdmk05,1,H-GA-TS,20310409,24.657656011875904,93.9230981015414,2.6400277614593506,4,3217.0,146.0
sdmk05,2,EDA-TS,20310410,0.0,0.0,1.4224920272827148,11,2985.0,123.0
sdmk05,2,EDA,20310410,45.661800227323496,173.26386457626975,0.8148665428161621,4,3261.0,143.0
sdmk05,2,NSGA-II,20310410,30.94450678230306,155.32535125242225,0.18840527534484863,4,3233.0,147.0
sdmk05,2,EDA-VNS,20310410,25.758493744782516,122.48257942706718,1.942732810974121,2,3188.0,147.0
sdmk05,2,H-GA-TS,20310410,59.8957427535547,137.02743461726493,2.5511586666107178,4,3198.0,148.0
sdmk06,1,EDA-TS,20320409,0.0,0.0,2.640936851501465,7,1555.0,64.0
sdmk06,1,EDA,20320409,723.9858424030127,1126.323319330626,1.1041316986083984,2,2749.0,113.0
sdmk06,1,NSGA-II,20320409,575.1158144234951,1237.465988568775,0.28253793716430664,5,2861.0,122.0
sdmk06,1,EDA-VNS,20320409,747.5175583222109,1073.9641272842548,3.5050675868988037,2,2698.0,110.0
sdmk06,1,H-GA-TS,20320409,804.4653504036081,1268.775879187338,6.021344900131226,2,2893.0,111.0
sdmk06,2,EDA-TS,20320410,0.0,0.0,3.9902055263519287,2,1571.0,61.0
sdmk06,2,EDA,20320410,531.5165801741277,1130.4423455418173,1.4285774230957031,4,2823.0,109.0
sdmk06,2,NSGA-II,20320410,509.7334205248857,1217.350808777869,0.4404470920562744,5,2910.0,99.0
sdmk06,2,EDA-VNS,20320410,547.5125569336286,1110.1939202360772,5.575068950653076,4,2803.0,112.0
sdmk06,2,H-GA-TS,20320410,628.1654948251208,1169.015485746957,10.55986499786377,3,2863.0,99.0
sdmk07,1,EDA-TS,20330409,0.0,0.0,3.459820032119751,13,3631.0,122.0
sdmk07,1,EDA,20330409,148.61937962459677,855.2887710609151,1.7933757305145264,5,4799.0,161.0
sdmk07,1,NSGA-II,20330409,121.97438255633844,697.110910013417,0.5779170989990234,4,4638.0,169.0
sdmk07,1,EDA-VNS,20330409,45.17742799230607,667.7764467286149,5.0949084758758545,1,4611.0,167.0
sdmk07,1,H-GA-TS,20330409,41.743262929483606,693.8833875822091,4.488548994064331,2,4639.0,158.0
sdmk07,2,EDA-TS,20330410,0.0,0.0,2.7442538738250732,12,3690.0,117.0
sdmk07,2,EDA,20330410,109.288608738514,533.9652679004015,1.197197437286377,1,4518.0,179.0
sdmk07,2,NSGA-II,20330410,274.3986151568553,868.5399397717142,0.32351136207580566,5,4852.0,177.0
sdmk07,2,EDA-VNS,20330410,142.73795921197697,594.2553636419044,4.274296760559082,4,4575.0,167.0
sdmk07,2,H-GA-TS,20330410,182.55615574392445,760.1514900219544,6.060266494750977,4,4745.0,173.0
sdmk08,1,EDA-TS,20340409,0.0,0.0,7.301658630371094,3,11573.0,281.0
sdmk08,1,EDA,20340409,205.2069416196462,662.6356255028892,4.19286584854126,3,12445.0,361.0
sdmk08,1,NSGA-II,20340409,183.4652555662788,633.3962761792009,1.0817179679870605,4,12417.0,343.0
sdmk08,1,EDA-VNS,20340409,98.86635198871028,487.7528914957289,9.357036828994751,3,12266.0,312.0
sdmk08,1,H-GA-TS,20340409,168.0320207579496,514.4548181537812,10.011389017105103,5,12283.0,334.0
sdmk08,2,EDA-TS,20340410,0.0,0.0,5.641124963760376,9,11516.0,303.0
sdmk08,2,EDA,20340410,288.1959210136203,663.564028671776,2.8361897468566895,3,12455.0,321.0
sdmk08,2,NSGA-II,20340410,186.2462527587244,514.3758166716775,0.7167854309082031,6,12287.0,365.0
sdmk08,2,EDA-VNS,20340410,141.97711083128857,456.7904669870022,4.539531946182251,2,12244.0,327.0
sdmk08,2,H-GA-TS,20340410,144.62979560857363,412.8141211089192,6.172360897064209,3,12177.0,337.0
sdmk09,1,EDA-TS,20350409,0.0,0.0,3.7966160774230957,6,9450.0,259.0
sdmk09,1,EDA,20350409,504.50718528084417,1791.8985522571109,2.0722906589508057,2,11685.0,350.0
sdmk09,1,NSGA-II,20350409,584.0681146065072,1891.3916477253551,0.5833830833435059,4,11785.0,348.0
sdmk09,1,EDA-VNS,20350409,473.84702172747694,1799.2161502981332,5.182651042938232,3,11690.0,372.0
sdmk09,1,H-GA-TS,20350409,481.076592134766,1824.5097086733756,6.0475380420684814,4,11713.0,372.0
sdmk09,2,EDA-TS,20350410,0.0,0.0,3.7191593647003174,11,9498.0,249.0
sdmk09,2,EDA,20350410,333.07823572114575,1006.9912249783621,2.1078708171844482,3,11274.0,373.0
sdmk09,2,NSGA-II,20350410,315.47612825695705,1391.8861333531545,0.5941457748413086,4,11691.0,367.0
sdmk09,2,EDA-VNS,20350410,256.93211381824403,1042.343803982734,5.023371696472168,3,11331.0,354.0
sdmk09,2,H-GA-TS,20350410,371.92854152377174,1293.0040173750922,6.428161382675171,5,11594.0,345.0
sdmk10,1,EDA-TS,20360409,0.0,0.0,4.541272401809692,16,7714.0,191.0
sdmk10,1,EDA,20360409,759.8253088704008,2065.1769597028583,1.9729440212249756,4,10588.0,303.0
sdmk10,1,NSGA-II,20360409,775.402798550534,2184.938336978405,0.5804581642150879,4,10706.0,283.0
sdmk10,1,EDA-VNS,20360409,818.3219109861351,1894.4734567825778,6.941236257553101,2,10418.0,282.0
sdmk10,1,H-GA-TS,20360409,900.8404409216985,2198.1550372167003,9.55777621269226,2,10722.0,278.0
sdmk10,2,EDA-TS,20360410,0.0,0.0,4.975377559661865,12,7674.0,185.0
sdmk10,2,EDA,20360410,869.498562390991,2424.5562529947642,2.1703784465789795,4,10659.0,300.0
